Name,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price
177,2013.0,59138.0,1,1,0,17.0,1405.0,70.0,5.0,20.923272120200334,2.58
189,2013.0,81504.0,1,1,0,21.43,1364.0,87.2,5.0,20.923272120200334,6.53
47,2007.0,92000.0,5,1,0,13.8,1299.0,70.0,5.0,20.923272120200334,1.25
74,2012.0,33249.0,1,1,0,21.27,1396.0,88.76,5.0,20.923272120200334,3.25
54,2011.0,65000.0,5,1,0,17.0,1497.0,118.0,5.0,20.923272120200334,5.2
41,2014.0,75136.0,1,1,0,22.7,1498.0,89.84,5.0,20.923272120200334,6.15
66,2016.0,25000.0,5,1,0,18.9,1197.0,82.0,5.0,20.923272120200334,5.0
121,2011.0,36411.0,5,1,0,18.9,998.0,67.1,5.0,20.923272120200334,3.08
130,2016.0,28000.0,5,0,0,13.7,1991.0,183.0,5.0,20.923272120200334,26.0
79,2011.0,78000.0,1,0,3,14.74,2993.0,270.9,5.0,20.923272120200334,24.0
157,2016.0,65003.0,1,0,0,13.6,4134.0,382.0,5.0,20.923272120200334,67.83
11,2012.0,76000.0,1,0,0,16.07,1995.0,181.0,4.0,20.923272120200334,8.75
66,2013.0,71904.0,1,1,0,24.0,1120.0,70.0,5.0,20.923272120200334,4.61
135,2019.0,17320.0,1,0,0,15.8,2148.0,170.0,5.0,20.923272120200334,37.99
178,2013.0,47304.0,1,1,0,21.02,1248.0,88.8,5.0,20.923272120200334,2.9
34,2015.0,32000.0,1,1,0,20.4,1248.0,91.7,5.0,20.923272120200334,4.65
119,2008.0,107000.0,1,1,3,17.8,1248.0,75.0,5.0,20.923272120200334,3.1
132,2016.0,50000.0,1,0,0,17.9,2143.0,201.15,5.0,79.43,49.0
12,2013.0,76000.0,1,0,0,18.48,1995.0,177.0,5.0,20.923272120200334,19.0
43,2010.0,85000.0,5,1,0,15.3,1596.0,101.0,5.0,20.923272120200334,1.46
12,2010.0,170000.0,1,0,4,18.48,1995.0,177.0,5.0,20.923272120200334,12.0
54,2017.0,45366.0,1,1,0,25.1,1498.0,98.6,5.0,20.923272120200334,10.88
48,2010.0,83000.0,5,0,3,11.1,2354.0,142.0,5.0,20.923272120200334,6.5
104,2016.0,31006.0,5,1,0,24.7,796.0,47.3,5.0,20.923272120200334,2.61
100,2015.0,76000.0,1,1,3,16.0,2179.0,140.0,7.0,20.923272120200334,12.0
35,2005.0,120000.0,5,1,3,15.5,1242.0,113.1567736021998,5.0,20.923272120200334,0.85
168,2009.0,48000.0,1,0,0,17.0,1896.0,105.0,5.0,20.923272120200334,5.0
105,2016.0,8500.0,5,1,0,21.4,1197.0,83.1,5.0,20.923272120200334,5.49
81,2018.0,42203.0,1,1,0,17.1,1956.0,170.0,5.0,21.72,19.46
66,2017.0,8500.0,5,1,3,18.9,1197.0,82.0,5.0,20.923272120200334,4.8
15,2012.0,94000.0,1,0,0,17.05,1995.0,184.0,5.0,20.923272120200334,12.5
62,2016.0,29832.0,5,1,0,21.1,814.0,55.2,5.0,20.923272120200334,3.29
44,2018.0,32709.0,5,1,0,18.16,1196.0,86.8,5.0,20.923272120200334,6.46
74,2012.0,38214.0,5,1,3,18.5,1197.0,80.0,5.0,20.923272120200334,4.05
73,2010.0,69000.0,5,1,0,20.36,1197.0,78.9,5.0,20.923272120200334,2.9
66,2017.0,20773.0,1,1,0,24.0,1186.0,73.97,5.0,8.17,5.92
